20	1378	4
40	5702	2
60	18381	6
80	52429	10
100	147917	27
120	246288	17
140	348289	29
160	632204	51
180	922236	59
200	1215715	48
220	2046851	88
240	2881734	110
260	3727696	75
280	4585838	72
300	5449950	81
320	7919089	262
340	10392869	213
360	12876489	266
380	15378598	213
400	17887067	234
420	20412327	216
440	22943161	236
460	25493615	227
480	32834832	682
500	40185733	706
520	47564510	689
540	54944460	710
560	62351671	707
580	69776828	681
600	77219793	684
620	84692050	697
640	92170436	722
660	99658557	701
680	107179168	706
700	114712271	699
720	136617060	2047
740	158537689	1999
760	180477032	2054
780	202433274	2071
800	224441122	2024
820	246467240	2021
840	268520304	2064
860	290589643	2049
880	312694607	2048
900	334816893	2067
920	356974678	2043
940	379167344	2067
960	401363976	2036
980	423580471	2058
1000	445822523	2016
1020	468113217	2036
1040	490431721	2097
1060	512781113	2059
1080	578230626	6273
1100	643699438	6267
1120	709207679	6135
1140	774745731	6227
1160	840291139	6257
1180	905914535	6297
1200	971575452	6240
1220	1037262433	6279
1240	1102970510	6236
1260	1168733760	6254
1280	1234498078	6227
1300	1300339316	6319
1320	1366224192	6266
1340	1432126243	6353
1360	1498045736	6231
1380	1564066752	6263
1400	1630102897	6274
1420	1696225670	6250
1440	1762312938	6326
1460	1828452619	6285
1480	1894667429	6256
1500	1960937673	6289
1520	2027245426	6308
1540	2093575520	6257
1560	2159914362	6341
1580	2226312058	6237
1600	2421845951	18399
1620	2617526331	18326
1640	2813228731	18413
1660	3009034961	18495
1680	3204874407	18486
1700	3400693894	18226
1720	3596593973	18400
1740	3792567579	18382
1760	3988555141	18442
1780	4184587013	18341
1800	4380657954	18949
1820	4576789336	18359
1840	4773025445	18401
1860	4969350990	18154
1880	5165703466	18196
1900	5362055936	18679
1920	5558498418	18823
1940	5755022467	18809
1960	5951587064	19048
1980	6148245372	20006
2000	6344991466	18923
